"business" "fullname" "sampwsw" "scorewsw" "sampwosw" "scorewosw" "totalsamples" "totalreviewscore" "pvalues" "qvalues" "city" "state" "lat" "long"
"1" "00eGk1ntf4RiDxVRY3gaIw" "Old Chicago" 22 2.15511720836398 10 2.50905500067766 32 2.265722768462 0.356462663780442 0.706564338989863 "Mesa" "AZ" 33.3832251 -111.6837464
"2" "0_3hrGrrP-J5eeHRwQfZ6w" "Macayo's Mexican Kitchen" 23 2.43151853708225 12 2.49470421244144 35 2.4531821972054 0.843627090021973 0.83338933906606 "Phoenix" "AZ" 33.6107116 -112.1006458
"3" "05fTEsjUPVo5jks8PpNKCQ" "Rollin Smoke Barbeque" 225 3.64723230899426 293 3.5976876921091 518 3.61920803728123 0.538162777094787 0.767197376166671 "Las Vegas" "NV" 36.131979 -115.177114
"4" "05tazaFQt1EnQ_Gk_1AFyg" "Nine Fine Irishmen" 216 2.89829603809607 237 3.11439504881767 453 3.01135446092393 0.0380711532466956 0.362893580032192 "Las Vegas" "NV" 36.103087 -115.17352
"5" "06kfoeRs9Acj82Yl3i9p_w" "Wildflower Bread Company" 33 3.71465063766589 36 3.25003659824837 69 3.4722433127524 0.0279905388896097 0.337559977412905 "Gilbert" "AZ" 33.378983 -111.7582579
"6" "06NjrKnpuwCWQQfKpt4tvQ" "Las Islitas Mariscos" 29 3.11456407535334 29 3.05299014297234 58 3.08377710916284 0.859285751275713 0.834238558196767 "North Las Vegas" "NV" 36.2044716 -115.1574767
"7" "07bUAD_qnrJAXvJou_ls4g" "Firefly" 243 3.13842312061656 133 3.40332640450939 376 3.23212561199355 0.00783756092053967 0.213526696744416 "Las Vegas" "NV" 36.144875 -115.302719
"8" "07OyvsOpqTWuyTtvE4_gcA" "Palee's Crown" 33 3.31578214328195 28 3.36811469405694 61 3.33980364199834 0.857571617595732 0.833902455651522 "Mesa" "AZ" 33.37831 -111.861418
"9" "085Y4PZ5Ezvh6SCRzxYF0g" "The Original Graziano's Pizza Restaurant" 24 2.7812534613894 39 2.6937767707533 63 2.72710122432896 0.788633697872567 0.826371087144988 "Las Vegas" "NV" 36.129869 -115.274722
"10" "08IFR_ruWR96K3Q6sakI_g" "Sushi Creek" 60 2.99770608797793 35 3.1119243707733 95 3.03978650795517 0.625854558381697 0.791242209087084 "Queen Creek" "AZ" 33.2497755 -111.6344767
